Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-01,21.6113,22.0242,21.4459,22.0242,64217.842171942
2019-03-04,22.354,22.6016,21.7757,21.8589,2865.4481576461
2019-03-05,21.8589,21.8589,21.5301,21.8589,2711.6617833584
2019-03-06,21.8589,21.8589,21.6113,21.8589,1354.7847258677
2019-03-07,21.6113,21.7757,21.6113,21.6113,1969.9302230185
2019-03-08,21.6113,21.6113,21.5301,21.5301,6220.5019150652
2019-03-11,21.7757,21.7757,21.5301,21.5301,1007.4576764561
2019-03-12,21.7757,21.7757,21.6113,21.7757,1680.1422932383
2019-03-13,21.8589,21.8589,21.1983,21.5301,4817.5935618694
2019-03-14,21.5301,21.6113,21.3638,21.4459,7847.289751918
2019-03-15,21.4459,21.6113,21.2815,21.3638,8195.6629671411
2019-03-18,21.5301,21.5301,21.1171,21.4459,26950.277469558
2019-03-19,21.3638,21.4459,21.1983,21.1983,3901.1523110122
2019-03-20,21.4459,21.4459,21.0349,21.4459,3488.9629812887
2019-03-21,21.1983,21.4459,21.1983,21.4459,2558.9215748822
2019-03-22,21.4459,21.4459,21.1983,21.4459,3306.930130091
2019-03-25,21.4459,21.4459,21.1171,21.4459,2861.2634944002
2019-03-26,21.4459,21.4459,21.4459,21.4459,1939.5914144855
2019-03-27,21.4459,21.4459,21.1171,21.1171,1101.6125994894
2019-03-28,21.1983,21.4459,21.1983,21.4459,1521.1250898932
2019-03-29,21.4459,21.4459,20.8686,21.2815,4465.0356834003
2019-04-01,21.2815,21.3638,21.2815,21.3638,2908.3409559168
2019-04-02,21.0349,21.4459,21.0349,21.4459,283.51093491132
2019-04-03,21.1983,21.4459,21.1983,21.4459,6220.5019150652
2019-04-04,21.4459,21.6113,21.3638,21.3638,31981.28885697
2019-04-05,21.4459,21.6113,21.3638,21.4459,1760.6970607223
2019-04-08,21.4459,21.4459,21.1983,21.4459,5191.0747565681
2019-04-09,21.4459,21.4459,21.4459,21.4459,3491.0553129117
2019-04-10,21.4459,21.6113,21.2815,21.5301,3831.0592016429
2019-04-11,21.4459,21.8589,21.4459,21.4459,3313.2071249599
2019-04-12,21.5301,21.9411,21.1983,21.1983,9169.6433376298
2019-04-15,21.1983,21.6935,21.1983,21.4459,3092.4661387374
2019-04-16,21.6113,21.6113,21.6113,21.6113,1127.7667447764
2019-04-17,21.6113,21.6113,21.6113,21.6113,1388.2620318351
2019-04-18,21.4459,21.6935,21.4459,21.4459,1783.7127085749
2019-04-23,21.3638,21.5301,21.1983,21.5301,1397.6775241384
2019-04-24,21.5301,21.5301,21.1983,21.4459,3428.2853642228
2019-04-25,21.1983,21.4459,21.1983,21.3638,987.58052603794
2019-04-26,21.1171,21.3638,21.0349,21.2815,1686.4192881072
2019-04-29,21.2815,21.3638,20.7042,21.2815,1144.5053977601
2019-04-30,21.1171,21.4459,21.0349,21.3638,1727.2197547549
2019-05-06,21.4459,21.4459,20.9527,21.2815,423.69715364975
2019-05-07,21.1983,21.3638,21.1171,21.2815,1067.0891277105
2019-05-08,21.2815,21.2815,21.1171,21.1171,1210.4138438834
2019-05-09,21.1171,21.2815,21.1171,21.2815,3955.5529332092
2019-05-13,21.2815,21.2815,21.0349,21.0349,412.18932972346
2019-05-14,20.7863,20.7863,19.9615,20.622,3118.6202840245
2019-05-15,20.622,21.0349,20.622,21.0349,99.385752090682
2019-05-16,20.8686,20.8686,20.8686,20.8686,550.28321683894
2019-05-17,20.9527,21.0349,20.8686,20.8686,311.7574118213
2019-05-20,20.4557,20.7042,20.0446,20.7042,778.34736374177
2019-05-21,20.5398,20.622,20.5398,20.622,228.06414690283
2019-05-22,20.1269,20.622,20.1269,20.622,43.938964082196
2019-05-23,20.622,20.8686,20.622,20.7042,13467.292491194
2019-05-24,21.0349,21.1983,21.0349,21.0349,1302.4764352937
2019-05-27,21.0349,21.1171,21.0349,21.0349,856.80979960283
2019-05-28,21.1983,21.1983,20.9527,20.9527,811.82466970915
2019-05-29,21.1983,21.3638,21.1171,21.2815,4099.9238151935
2019-05-30,21.2815,21.4459,21.2815,21.4459,3732.7196153637
2019-05-31,21.1171,21.3638,21.1171,21.2815,5043.5653771493
2019-06-03,21.2815,21.2815,20.7863,20.7863,1004.3191790216
